ds,yhat,yhat_lower,yhat_upper
2020-03-02,3090.219165071138,-32393.779129641454,39515.36176284136
2020-03-03,-2472.506402702691,-35769.26767102183,29895.78836811464
2020-03-04,-1536.5803975594986,-35707.49094172704,32805.30555167451
2020-03-05,-387.0575603372562,-37752.68114024026,35786.862149077366
2020-03-06,890.0585723006346,-35247.60700796096,37685.74604671355
2020-03-07,1893.2348959551473,-35817.779344243645,36323.219504215755
2020-03-08,3036.53486748951,-32047.505232234493,35997.773166843086
2020-03-09,3547.719896222071,-32574.967065867942,40671.39697948162
2020-03-10,-2014.373935250075,-37920.00900836844,33295.779963716894
2020-03-11,-1077.0312335100962,-36307.784056694,32613.173882290008
2020-03-12,73.2765639825293,-37824.87672232527,32972.55043840802
2020-03-13,1351.177656892747,-33109.67913591617,33828.72677981375
2020-03-14,2355.1389408349132,-31437.6168878098,35967.334748830224
2020-03-15,3499.2238726394976,-31779.41420564778,41366.03517864981
2020-03-16,4011.193861651585,-31056.4875130417,36503.63725230319
2020-03-17,-1491.8256190933168,-35722.23716643998,36261.07839830528
2020-03-18,-496.1935269024807,-36210.13894699978,33478.9025843268
2020-03-19,712.4036610414776,-36528.66051251165,33413.939291867704
2020-03-20,2048.5941444105174,-34161.416109419944,36827.2909433112
2020-03-21,3110.844818801428,-32046.300769839574,37796.94741384053
2020-03-22,4313.219141058676,-30162.834418419636,41440.64948130122
2020-03-23,4923.9715765312085,-28346.347894844595,40296.75041661561
2020-03-24,-538.5548481932778,-36820.997005190526,34813.106930982765
2020-03-25,497.5703000101944,-34094.3169471357,35750.68501803352
2020-03-26,1746.6605439860843,-30950.322681655092,36980.28671559671
2020-03-27,3123.3440833632067,-30915.343560536872,38203.95451859898
2020-03-28,4226.087813769943,-30302.88257980753,37551.335839630614
2020-03-29,5484.19503675417,-30032.648567846787,41035.06769192169
2020-03-30,6110.187316928903,-28190.407420934684,39207.44590328493
2020-03-31,662.9007369241558,-31153.125029788145,35581.927926484845
2020-04-01,1714.265729824384,-31033.163754319867,36608.92821209294
2020-04-02,2978.5958185031095,-31694.144342994598,37187.1587299365
2020-04-03,4370.519202594105,-29632.314505381448,39050.41262020668
2020-04-04,5584.136863541425,-28481.43579279234,38472.64082640457
2020-04-05,6937.8781723569355,-28359.565868126214,41884.408528013846
2020-04-06,7659.504538374735,-27136.71981988692,42589.784329718525
2020-04-07,2307.852044206034,-32152.104012030206,36342.83042959998
2020-04-08,3454.85112295027,-29630.643689892775,39646.774564771666
2020-04-09,5220.493808970978,-30400.62216593452,41298.20591170035
2020-04-10,7113.72979040757,-25863.821662490485,45678.95079972006
2020-04-11,8733.025962852069,-25946.070578912433,45105.47042787045
2020-04-12,10492.44578317617,-23865.279493974424,47777.296253989276
2020-04-13,11619.75066069542,-21507.70149963038,47293.641056612
2020-04-14,6673.77667803387,-27549.723414346645,44332.67930538111
2020-04-15,8863.85759927203,-28636.15070878804,44468.61733071201
2020-04-16,11266.903616273568,-24948.453987417408,46679.736875227136
2020-04-17,13797.542928693365,-22863.954533565233,47852.37987998758
2020-04-18,16054.242432140305,-17373.420081495267,47213.80489456506
2020-04-19,18451.065583446223,-17184.33415912205,52929.284189444654
2020-04-20,20215.773791945245,-15465.177393879498,55483.51681574937
2020-04-21,16216.844701160051,-17473.44811759288,51287.98432973955
2020-04-22,18716.56718326906,-17603.806007954016,51276.01087604439
2020-04-23,21429.25476114681,-12431.354756347157,55099.287446845236
2020-04-24,24269.5356344464,-11388.203632038816,59493.71412082648
2020-04-25,26835.876698762717,-7424.218854265795,60814.50935993821
2020-04-26,29542.34141094947,-2721.4245985312514,62553.31005452793
2020-04-27,32129.892642137092,-4676.905722412839,65931.84791756033
