ds,yhat,yhat_lower,yhat_upper
2020-06-01,101114.81360246445,86617.63376737843,115183.14561906895
2020-06-02,101720.6591044646,88476.30616264079,116215.54837092175
2020-06-03,105096.635100438,91096.85979189494,119356.70071759894
2020-06-04,107724.6530501322,94744.37240516336,121342.2050156411
2020-06-05,110996.7998929204,96665.06664205811,124391.99731804682
2020-06-06,114041.89317311533,100153.2517190811,127570.38519458617
2020-06-07,117665.77028216567,104275.38880256715,132220.83274638918
2020-06-08,120411.2246580143,105947.51006335298,134804.86413023176
2020-06-09,121017.07016744818,108080.76898315172,135813.64931102388
2020-06-10,124393.04617084711,110175.54837503337,139488.61557500513
2020-06-11,127021.06412796734,112771.8496152177,140262.90116143986
2020-06-12,130293.2109781814,116887.15727180353,144255.833126393
2020-06-13,133338.30426580895,119281.39528147958,146573.0149772039
2020-06-14,136962.18139809833,122771.12082360017,150888.4847183248
2020-06-15,139707.63578976347,125905.54035453472,152969.25392605987
2020-06-16,140313.48131501253,125946.51277991131,154225.55382893325
2020-06-17,143689.45733422672,129982.46840633602,157474.85073742576
2020-06-18,146317.47530716198,131371.85026379372,160365.82113385334
2020-06-19,149589.62217319198,136093.62658324663,164012.89592308053
2020-06-20,157633.92942481136,142829.37911390205,173237.60931686172
2020-06-21,166257.0205052849,152449.06398497187,179711.53123235644
2020-06-22,174001.68884512965,159917.6596036245,187853.17206378686
2020-06-23,179606.7483185614,165868.8251120528,193509.0673151379
2020-06-24,187981.93828595916,174007.30144077964,201275.003977303
2020-06-25,195609.17020707543,181676.34836435894,209378.8796944513
2020-06-26,203880.53102128746,190267.02079683653,216960.99119723486
2020-06-27,211924.83827290597,198424.82720658244,225552.47156944918
2020-06-28,220547.92935338363,206633.4520897121,234161.57360102932
2020-06-29,228292.59769322517,214129.42693196307,242698.45184819534
2020-06-30,233897.65716665727,219403.23262357528,248273.86330121823
2020-07-01,242272.84713405295,228627.6252531153,256247.1372397645
2020-07-02,249900.0790551721,234967.83092647686,262674.9015898759
2020-07-03,258171.43986938553,243741.3000072776,271963.4167879585
2020-07-04,266215.74712100613,252217.72026436927,280113.1367792975
2020-07-05,274838.83820147667,260651.05902937715,288092.51002290467
2020-07-06,282583.50654132623,267323.68985967245,295612.5918912196
